governorate,city,category,item,avg_price_egp,min_price_egp,max_price_egp
North Sinai,Al Arish,Utilities (Monthly),"Basic Utilities for 85 m2 Apartment (Electricity, Heating, Cooling, Water, Garbage)",936.55,578.0,1342.11
North Sinai,Al Arish,Utilities (Monthly),"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",403.33,300.0,500.0
North Sinai,Al Arish,Utilities (Monthly),"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",1000.0,700.0,2000.0
North Sinai,Al Arish,Sports And Leisure,Cinema Ticket (International Release),250.0,150.0,350.0
North Sinai,Al Arish,Childcare,"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",4833.33,3000.0,6000.0
North Sinai,Al Arish,Childcare,"International Primary School, Annual Tuition per Child",123750.0,95000.0,150000.0
North Sinai,Al Arish,Clothing And Shoes,Jeans (Levi's 501 or Similar),866.67,300.0,1000.0
North Sinai,Al Arish,Clothing And Shoes,Summer Dress in a Chain Store (e.g. Zara or H&M),3125.0,1500.0,5000.0
North Sinai,Al Arish,Clothing And Shoes,Nike Running Shoes (Mid-Range),4250.0,2500.0,15000.0
North Sinai,Al Arish,Clothing And Shoes,Men's Leather Business Shoes,2575.0,1000.0,5000.0
North Sinai,Al Arish,Salaries And Financing,"Annual Mortgage Interest Rate (20-Year Fixed, in %)",20.0,15.0,25.0
Giza,Al-hawamidiyah,Restaurants,Meal at an Inexpensive Restaurant,200.0,120.0,500.0
Giza,Al-hawamidiyah,Restaurants,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",800.0,500.0,1500.0
Giza,Al-hawamidiyah,Restaurants,Combo Meal at McDonald's (or Equivalent Fast-Food Meal),250.0,200.0,250.0
Giza,Al-hawamidiyah,Restaurants,Domestic Draft Beer (0.5 Liter),72.5,60.0,110.0
Giza,Al-hawamidiyah,Restaurants,Imported Beer (0.33 Liter Bottle),150.0,90.0,200.0
Giza,Al-hawamidiyah,Restaurants,Cappuccino (Regular Size),64.12,30.0,120.0
Giza,Al-hawamidiyah,Restaurants,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle)",16.38,15.0,20.0
Giza,Al-hawamidiyah,Restaurants,Bottled Water (0.33 Liter),6.53,5.0,10.0
Giza,Al-hawamidiyah,Markets,"Milk (Regular, 1 Liter)",43.93,38.0,50.0
Giza,Al-hawamidiyah,Markets,Fresh White Bread (500 g Loaf),39.57,20.0,120.0
Giza,Al-hawamidiyah,Markets,White Rice (1 kg),33.52,26.0,40.0
Giza,Al-hawamidiyah,Markets,"Eggs (12, Large Size)",61.17,36.0,72.0
Giza,Al-hawamidiyah,Markets,Local Cheese (1 kg),208.12,80.0,400.0
Giza,Al-hawamidiyah,Markets,Chicken Fillets (1 kg),220.62,180.0,250.0
Giza,Al-hawamidiyah,Markets,Beef Round or Equivalent Back Leg Red Meat (1 kg),470.26,400.0,500.0
Giza,Al-hawamidiyah,Markets,Apples (1 kg),72.11,40.0,90.0
Giza,Al-hawamidiyah,Markets,Bananas (1 kg),33.82,25.0,50.0
Giza,Al-hawamidiyah,Markets,Oranges (1 kg),22.69,10.0,35.0
Giza,Al-hawamidiyah,Markets,Tomatoes (1 kg),17.04,10.0,25.0
Giza,Al-hawamidiyah,Markets,Potatoes (1 kg),17.08,7.0,30.0
Giza,Al-hawamidiyah,Markets,Onions (1 kg),18.57,10.0,30.0
Giza,Al-hawamidiyah,Markets,Lettuce (1 Head),14.0,5.0,30.0
Giza,Al-hawamidiyah,Markets,Bottled Water (1.5 Liter),10.12,8.0,12.0
Giza,Al-hawamidiyah,Markets,Bottle of Wine (Mid-Range),300.0,150.0,500.0
Giza,Al-hawamidiyah,Markets,Domestic Beer (0.5 Liter Bottle),66.0,60.0,90.0
Giza,Al-hawamidiyah,Markets,Imported Beer (0.33 Liter Bottle),140.0,45.0,160.0
Giza,Al-hawamidiyah,Markets,"Cigarettes (Pack of 20, Marlboro)",100.0,80.0,150.0
Giza,Al-hawamidiyah,Transportation,Taxi Start (Standard Tariff),30.0,20.0,50.0
Giza,Al-hawamidiyah,Transportation,Taxi 1 km (Standard Tariff),22.5,10.0,30.0
Giza,Al-hawamidiyah,Transportation,Taxi 1 Hour Waiting (Standard Tariff),100.0,70.0,100.0
Giza,Al-hawamidiyah,Transportation,Gasoline (1 Liter),19.03,15.0,24.0
Giza,Al-hawamidiyah,Transportation,Volkswagen Golf 1.5 (or Equivalent New Compact Car),1690000.0,1690000.0,1800000.0
Giza,Al-hawamidiyah,Transportation,Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),1506250.0,1200000.0,1700000.0
Giza,Al-hawamidiyah,Utilities (Monthly),"Basic Utilities for 85 m2 Apartment (Electricity, Heating, Cooling, Water, Garbage)",669.6,470.0,1000.0
Giza,Al-hawamidiyah,Utilities (Monthly),"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",335.79,150.0,500.0
Giza,Al-hawamidiyah,Utilities (Monthly),"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",533.64,250.0,1000.0
Giza,Al-hawamidiyah,Sports And Leisure,Cinema Ticket (International Release),150.0,100.0,150.0
Giza,Al-hawamidiyah,Childcare,"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",4155.56,2500.0,5000.0
Giza,Al-hawamidiyah,Childcare,"International Primary School, Annual Tuition per Child",111363.64,70000.0,308505.74
Giza,Al-hawamidiyah,Clothing And Shoes,Jeans (Levi's 501 or Similar),1503.57,600.0,3000.0
Giza,Al-hawamidiyah,Clothing And Shoes,Summer Dress in a Chain Store (e.g. Zara or H&M),2300.0,800.0,4000.0
Giza,Al-hawamidiyah,Clothing And Shoes,Nike Running Shoes (Mid-Range),6545.45,3500.0,12000.0
Giza,Al-hawamidiyah,Clothing And Shoes,Men's Leather Business Shoes,2877.78,700.0,5000.0
Giza,Al-hawamidiyah,Salaries And Financing,"Annual Mortgage Interest Rate (20-Year Fixed, in %)",20.5,14.0,24.0
Alexandria,Alexandria,Restaurants,Meal at an Inexpensive Restaurant,200.0,120.0,500.0
Alexandria,Alexandria,Restaurants,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",800.0,500.0,1500.0
Alexandria,Alexandria,Restaurants,Combo Meal at McDonald's (or Equivalent Fast-Food Meal),250.0,200.0,250.0
Alexandria,Alexandria,Restaurants,Domestic Draft Beer (0.5 Liter),72.5,60.0,110.0
Alexandria,Alexandria,Restaurants,Imported Beer (0.33 Liter Bottle),150.0,90.0,200.0
Alexandria,Alexandria,Restaurants,Cappuccino (Regular Size),64.12,30.0,120.0
Alexandria,Alexandria,Restaurants,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle)",16.38,15.0,20.0
Alexandria,Alexandria,Restaurants,Bottled Water (0.33 Liter),6.53,5.0,10.0
Alexandria,Alexandria,Markets,"Milk (Regular, 1 Liter)",43.93,38.0,50.0
Alexandria,Alexandria,Markets,Fresh White Bread (500 g Loaf),39.57,20.0,120.0
Alexandria,Alexandria,Markets,White Rice (1 kg),33.52,26.0,40.0
Alexandria,Alexandria,Markets,"Eggs (12, Large Size)",61.17,36.0,72.0
Alexandria,Alexandria,Markets,Local Cheese (1 kg),208.12,80.0,400.0
Alexandria,Alexandria,Markets,Chicken Fillets (1 kg),220.62,180.0,250.0
Alexandria,Alexandria,Markets,Beef Round or Equivalent Back Leg Red Meat (1 kg),470.26,400.0,500.0
Alexandria,Alexandria,Markets,Apples (1 kg),72.11,40.0,90.0
Alexandria,Alexandria,Markets,Bananas (1 kg),33.82,25.0,50.0
Alexandria,Alexandria,Markets,Oranges (1 kg),22.69,10.0,35.0
Alexandria,Alexandria,Markets,Tomatoes (1 kg),17.04,10.0,25.0
Alexandria,Alexandria,Markets,Potatoes (1 kg),17.08,7.0,30.0
Alexandria,Alexandria,Markets,Onions (1 kg),18.57,10.0,30.0
Alexandria,Alexandria,Markets,Lettuce (1 Head),14.0,5.0,30.0
Alexandria,Alexandria,Markets,Bottled Water (1.5 Liter),10.12,8.0,12.0
Alexandria,Alexandria,Markets,Bottle of Wine (Mid-Range),300.0,150.0,500.0
Alexandria,Alexandria,Markets,Domestic Beer (0.5 Liter Bottle),66.0,60.0,90.0
Alexandria,Alexandria,Markets,Imported Beer (0.33 Liter Bottle),140.0,45.0,160.0
Alexandria,Alexandria,Markets,"Cigarettes (Pack of 20, Marlboro)",100.0,80.0,150.0
Alexandria,Alexandria,Transportation,One-Way Ticket (Local Transport),10.0,6.5,15.0
Alexandria,Alexandria,Transportation,Monthly Public Transport Pass (Regular Price),700.0,,
Alexandria,Alexandria,Transportation,Taxi Start (Standard Tariff),30.0,20.0,50.0
Alexandria,Alexandria,Transportation,Taxi 1 km (Standard Tariff),22.5,10.0,30.0
Alexandria,Alexandria,Transportation,Taxi 1 Hour Waiting (Standard Tariff),100.0,70.0,100.0
Alexandria,Alexandria,Transportation,Gasoline (1 Liter),19.03,15.0,24.0
Alexandria,Alexandria,Transportation,Volkswagen Golf 1.5 (or Equivalent New Compact Car),1690000.0,1690000.0,1800000.0
Alexandria,Alexandria,Transportation,Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),1506250.0,1200000.0,1700000.0
Alexandria,Alexandria,Utilities (Monthly),"Basic Utilities for 85 m2 Apartment (Electricity, Heating, Cooling, Water, Garbage)",669.6,470.0,1000.0
Alexandria,Alexandria,Utilities (Monthly),"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",335.79,150.0,500.0
Alexandria,Alexandria,Utilities (Monthly),"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",533.64,250.0,1000.0
Alexandria,Alexandria,Sports And Leisure,Monthly Fitness Club Membership,655.88,250.0,1500.0
Alexandria,Alexandria,Sports And Leisure,"Tennis Court Rental (1 Hour, Weekend)",385.71,250.0,500.0
