scraped_date,type,city,region,price,area,bedrooms,bathrooms,floor_numeric,floor_label,furnished
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,20000,194,3,4,3.0,3,yes
2026-05-10,apartment,Giza,Sheikh Zayed,13000,122,2,1,4.0,4,yes
2026-05-10,duplex,Giza,Sheikh Zayed,10000,70,2,1,0.0,Ground,yes
2026-05-10,apartment,Giza,Sheikh Zayed,21000,210,3,3,1.0,1,no
2026-05-10,apartment,Giza,Sheikh Zayed,18000,140,3,3,3.0,3,yes
2026-05-10,apartment,Giza,Sheikh Zayed,25000,140,3,2,4.0,4,yes
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,25000,100,2,1,0.0,Ground,yes
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,9000,210,3,2,0.0,Ground,no
2026-05-10,apartment,Giza,Sheikh Zayed,13000,180,2,2,0.0,Ground,no
2026-05-10,apartment,Giza,Sheikh Zayed,20000,220,4,2,2.0,2,yes
2026-05-10,apartment,Giza,Sheikh Zayed,11000,120,2,1,2.0,2,yes
2026-05-10,apartment,Cairo,Nasr City,3700,120,2,2,7.0,7,no
2026-05-10,apartment,Cairo,Rehab City,23000,305,5,4,1.0,1,no
2026-05-10,apartment,Cairo,Rehab City,21000,300,4,3,1.0,1,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,24000,198,3,3,3.0,3,no
2026-05-10,apartment,Giza,Haram,9500,110,2,1,10.0,10+,yes
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,6500,170,3,2,3.0,3,no
2026-05-10,apartment,Cairo,Madinaty,6500,131,3,2,1.0,1,no
2026-05-10,apartment,Cairo,Madinaty,5500,120,2,1,0.0,Ground,no
2026-05-10,apartment,Cairo,Rehab City,16000,90,2,1,2.0,2,yes
2026-05-10,duplex,Cairo,New Cairo - El Tagamoa,17000,340,4,4,0.0,Ground,no
2026-05-10,apartment,Cairo,Madinaty,6000,132,3,2,1.0,1,no
2026-05-10,studio,Cairo,Madinaty,8000,58,1,1,0.0,Ground,yes
2026-05-10,apartment,Cairo,Shorouk City,8500,300,3,3,2.0,2,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,13000,138,2,3,0.0,Ground,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,8500,140,3,2,2.0,2,yes
2026-05-10,apartment,Cairo,Rehab City,8000,131,3,2,1.0,1,no
2026-05-10,apartment,Alexandria,Glim,8500,160,4,2,5.0,5,no
2026-05-10,apartment,Giza,Sheikh Zayed,12500,80,2,1,3.0,3,yes
2026-05-10,apartment,Cairo,Rehab City,13000,131,3,2,4.0,4,yes
2026-05-10,studio,Cairo,Rehab City,15000,60,1,1,0.0,Ground,yes
2026-05-10,apartment,Giza,Sheikh Zayed,30000,230,3,4,0.0,Ground,yes
2026-05-10,apartment,Giza,Sheikh Zayed,16000,120,2,2,2.0,2,yes
2026-05-10,apartment,Cairo,Rehab City,13000,90,2,1,4.0,4,yes
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,15000,140,2,2,0.0,Ground,no
2026-05-10,apartment,Cairo,Madinaty,12000,78,2,1,4.0,4,yes
2026-05-10,studio,Cairo,New Cairo - El Tagamoa,12000,88,1,1,2.0,2,yes
2026-05-10,apartment,Cairo,Madinaty,5000,91,2,1,2.0,2,no
2026-05-10,apartment,Cairo,Rehab City,13000,90,2,1,3.0,3,yes
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,14000,300,3,3,1.0,1,no
2026-05-10,apartment,Cairo,New Cairo - El Tagamoa,25000,187,3,3,0.0,Ground,no
2026-05-10,apartment,Cairo,Rehab City,7500,155,3,3,3.0,3,no
2026-05-10,apartment,Cairo,Rehab City,18000,136,3,2,0.0,Ground,yes
2026-05-10,apartment,Giza,West Somid,30000,320,3,3,2.0,2,yes
2026-05-10,apartment,Alexandria,Miami,3250,150,3,1,10.0,10+,no
