Id_cost,governorate,city,category,item,avg_price_egp,min_price_egp,max_price_egp
1308,Cairo,New Cairo,Restaurants,Combo Meal at McDonald's (or Equivalent Fast-Food Meal),300,250,350
1309,Cairo,New Cairo,Restaurants,Domestic Draft Beer (0.5 Liter),90,54,200
1310,Cairo,New Cairo,Restaurants,Imported Beer (0.33 Liter Bottle),150,100,250
1311,Cairo,New Cairo,Restaurants,Cappuccino (Regular Size),95.36,50,140
1312,Cairo,New Cairo,Restaurants,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle)",19.92,15,50
1313,Cairo,New Cairo,Restaurants,Bottled Water (0.33 Liter),7.44,5,20
1314,Cairo,New Cairo,Markets,"Milk (Regular, 1 Liter)",49.33,43,55
1315,Cairo,New Cairo,Markets,Fresh White Bread (500 g Loaf),30.35,10,47
1316,Cairo,New Cairo,Markets,White Rice (1 kg),37.33,34,40
1317,Cairo,New Cairo,Markets,"Eggs (12, Large Size)",77.28,36,108
1318,Cairo,New Cairo,Markets,Local Cheese (1 kg),222,50,280
1319,Cairo,New Cairo,Markets,Chicken Fillets (1 kg),285.83,225,375
1320,Cairo,New Cairo,Markets,Beef Round or Equivalent Back Leg Red Meat (1 kg),460,400,550
1321,Cairo,New Cairo,Markets,Apples (1 kg),91.67,70,100
1322,Cairo,New Cairo,Markets,Bananas (1 kg),33.67,25,50
1323,Cairo,New Cairo,Markets,Oranges (1 kg),27,20,30
1324,Cairo,New Cairo,Markets,Tomatoes (1 kg),19.51,5,25
1325,Cairo,New Cairo,Markets,Potatoes (1 kg),22.27,10,37
1326,Cairo,New Cairo,Markets,Onions (1 kg),28.7,9,44.09
1327,Cairo,New Cairo,Markets,Lettuce (1 Head),9.2,5,15
1328,Cairo,New Cairo,Markets,Bottled Water (1.5 Liter),12.5,9,20
1329,Cairo,New Cairo,Markets,Bottle of Wine (Mid-Range),450,300,600
1330,Cairo,New Cairo,Markets,Domestic Beer (0.5 Liter Bottle),65,,
1331,Cairo,New Cairo,Markets,Imported Beer (0.33 Liter Bottle),92.5,65,120
1332,Cairo,New Cairo,Markets,"Cigarettes (Pack of 20, Marlboro)",100,85,110
1333,Cairo,New Cairo,Transportation,One-Way Ticket (Local Transport),15,10,20
1334,Cairo,New Cairo,Transportation,Taxi Start (Standard Tariff),30,20,60
1335,Cairo,New Cairo,Transportation,Taxi 1 km (Standard Tariff),9,5,12
1336,Cairo,New Cairo,Transportation,Taxi 1 Hour Waiting (Standard Tariff),200,100,300
1337,Cairo,New Cairo,Transportation,Gasoline (1 Liter),19.24,15,24
1338,Cairo,New Cairo,Transportation,Volkswagen Golf 1.5 (or Equivalent New Compact Car),1690000,1600000,1690000
1339,Cairo,New Cairo,Transportation,Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),1400000,1150000,1650000
1340,Cairo,New Cairo,Utilities (Monthly),"Basic Utilities for 85 m2 Apartment (Electricity, Heating, Cooling, Water, Garbage)",2221.49,1062.5,6000
1341,Cairo,New Cairo,Utilities (Monthly),"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",488.12,300,1000
1342,Cairo,New Cairo,Utilities (Monthly),"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",720.33,450,1200
1343,Cairo,New Cairo,Sports And Leisure,Monthly Fitness Club Membership,1535.42,600,3000
1344,Cairo,New Cairo,Sports And Leisure,"Tennis Court Rental (1 Hour, Weekend)",333.33,100,500
1345,Cairo,New Cairo,Sports And Leisure,Cinema Ticket (International Release),170,150,200
1346,Cairo,New Cairo,Childcare,"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",8000,6000,13000
1347,Cairo,New Cairo,Childcare,"International Primary School, Annual Tuition per Child",236498.3,120000,500000
1348,Cairo,New Cairo,Clothing And Shoes,Jeans (Levi's 501 or Similar),2400,1000,3000
1349,Cairo,New Cairo,Clothing And Shoes,Summer Dress in a Chain Store (e.g. Zara or H&M),2866.67,2600,3000
1350,Cairo,New Cairo,Clothing And Shoes,Nike Running Shoes (Mid-Range),6083.33,5000,7000
1351,Cairo,New Cairo,Clothing And Shoes,Men's Leather Business Shoes,3000,1000,5000
1352,Cairo,New Cairo,Rent Per Month,1 Bedroom Apartment in City Centre,16000,12000,20000
1353,Cairo,New Cairo,Rent Per Month,1 Bedroom Apartment Outside of City Centre,12750,8000,18000
1354,Cairo,New Cairo,Rent Per Month,3 Bedroom Apartment in City Centre,28500,18000,35000
1355,Cairo,New Cairo,Rent Per Month,3 Bedroom Apartment Outside of City Centre,18975,14000,25000
1356,Cairo,New Cairo,Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,70000,50000,100000
1357,Cairo,New Cairo,Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,36722,35000,40000
1358,Cairo,New Cairo,Salaries And Financing,Average Monthly Net Salary (After Tax),9833.33,,
1359,Cairo,New Cairo,Salaries And Financing,"Annual Mortgage Interest Rate (20-Year Fixed, in %)",11.4,9,15.2
1360,Port Said,Port Said,Restaurants,Meal at an Inexpensive Restaurant,200,120,500
